username, created_at, lng, lat, text,,,
johnowhlavista,Mon Apr 20 22:11:47 +0000 2020,-96.062561,41.177450,@realDonaldTrump Medical staffing companies cut doctors’ pay — while spending millions on political ads | Raw Story… https://t.co/2zlUrrOuZ3,,,
JeromeS73748712,Mon Apr 20 22:11:50 +0000 2020,-70.938921,41.668286,@realDonaldTrump @seanhannity She must need some Adrenochrome she looks worse by the day hope she lives long enough… https://t.co/FHm9Xvj7Ea,,,
landers_ross,Mon Apr 20 22:12:05 +0000 2020,-81.248786,42.948841, @realDonaldTrump knew in November Seano. ,,,
SchultJoshua,Mon Apr 20 22:12:05 +0000 2020,-97.103139,33.030083,@realDonaldTrump Why so you can talk nonsense all you ever say is it’s beautiful it’s perfect everything’s fine I’m… https://t.co/N0m6mpjE62,,,
mpolvere216,Mon Apr 20 22:12:16 +0000 2020,-73.081470,41.327139,@realDonaldTrump https://t.co/fC5sEoCptp,,,
sondrajean0905,Mon Apr 20 22:12:23 +0000 2020,-118.054908,34.103189, @realDonaldTrump You're still an idiot!! ,,,
realkevinnn,Mon Apr 20 22:12:24 +0000 2020,-119.636189,36.830799, @realDonaldTrump Maybe Lieutenant General Todd Simonetti should be promoted to four-star general, that man is amazing ,,
arline1,Mon Apr 20 22:13:45 +0000 2020,-118.411907,34.020789, @realDonaldTrump taking care of himself ,,,
MikeL9443,Mon Apr 20 22:13:48 +0000 2020,-122.804456,38.540983, @realDonaldTrump It a Trump Rally. If the dead rate go up, your gone. 🥊🥊 ,,
tobacco_v,Mon Apr 20 22:13:55 +0000 2020,-80.639541,41.105271,@realDonaldTrump @POTUS How did Ruth Christ Steak house get $20 million in aid and my small business can’t any money. FIX THIS NOW!,,,
Guykhongminhs,Mon Apr 20 22:14:07 +0000 2020,107.997458,11.765142, @realDonaldTrump @WhiteHouse Yes ,,,
gswickes,Mon Apr 20 22:14:27 +0000 2020,-106.632718,35.117002,@realDonaldTrump It is a #TrumpRally to promote #CorruptTrump and #lies #TrumpLiesPeopleDie #TrumpVirusCoverup… https://t.co/BIrfYJ1OjF,,,
MaHeymann,Mon Apr 20 22:14:35 +0000 2020,-74.522323,40.895556,@realDonaldTrump It’s the end of April nice work. Should of been done back in December along with PPE for our healt… https://t.co/DbC3zftZnp,,,
Habs_luckycharm,Mon Apr 20 22:14:35 +0000 2020,-73.709589,45.605568, @realDonaldTrump I'd like to scream something out too..... LIAR!! ,,,
SweetPinkTeas,Mon Apr 20 22:14:38 +0000 2020,-115.223125,36.232915, @realDonaldTrump @POTUS Your Love Brief Feed Isn't Up Going On The WhiteHouse ,,,
CParsonsDobney,Mon Apr 20 22:14:46 +0000 2020,-76.116431,39.547839, @realDonaldTrump @RepDanCrenshaw Still challenged ,,,
DJiPaul1,Mon Apr 20 22:14:46 +0000 2020,-117.915261,34.138088,@realDonaldTrump and @VP thank you for highlighting the hard men and woman that work at #ARMY #corps of #Engineers… https://t.co/du7dd0NmA7,,,
Titanee,Mon Apr 20 22:14:53 +0000 2020,-73.781306,40.934811, @realDonaldTrump @MikeFrancesa FIFA???? ,,,
MutagubyaAllan4,Mon Apr 20 22:14:53 +0000 2020,32.376617,-0.575487, @realDonaldTrump and his supporters carry similar brains. ,,,
lauryashin,Mon Apr 20 22:15:18 +0000 2020,-71.354331,42.285584, @realDonaldTrump Hey,you crybaby. I am 75 years old, being treated for metastatic lung cancer. Being asymtomatic,… https://t.co/0t7ig2WD39
arline1,Mon Apr 20 22:15:21 +0000 2020,-118.411907,34.020789, @realDonaldTrump did you hear, they changed things, you did not have them! Fucking ass ,
prisonforprez,Mon Apr 20 22:15:30 +0000 2020,-119.025163,35.346902, @realDonaldTrump I didn’t think you could read? Heil Twittler! ,,,
arline1,Mon Apr 20 22:15:43 +0000 2020,-118.411907,34.020789, @realDonaldTrump I hate you, ,,
mpolvere216,Mon Apr 20 22:15:49 +0000 2020,-73.081470,41.327139,@realDonaldTrump @RepDanCrenshaw https://t.co/fC5sEoCptp,,,
AnonymousOneToo,Mon Apr 20 22:16:08 +0000 2020,0.567684,50.885519, @realDonaldTrump @FLOTUS @BorisJohnson @KTHopkins ,,,
video3,Mon Apr 20 22:16:14 +0000 2020,-75.194188,40.085357,@realDonaldTrump @RepDanCrenshaw The President of what used to to be the Greatest Country the United States. We can… https://t.co/jHJNBnu6In,,,
acindyrich,Mon Apr 20 22:16:31 +0000 2020,-105.017787,39.596849,@realDonaldTrump I have finally figured out that you went 6 years to Hillbilly School!  This explains everything!… https://t.co/oUPkpS0AfY,,,
JPA313,Mon Apr 20 22:16:47 +0000 2020,-80.846785,35.209059, @realDonaldTrump Now get the tests ready. Hey, now we will have enough for the next round ,,
mpolvere216,Mon Apr 20 22:17:02 +0000 2020,-73.081470,41.327139,@realDonaldTrump https://t.co/fC5sEoCptp,,,
JPA313,Mon Apr 20 22:17:17 +0000 2020,-80.846785,35.209059, @realDonaldTrump So painful. ,,,
Jimmyrw90,Mon Apr 20 22:17:52 +0000 2020,-78.815179,39.645690, @realDonaldTrump #DoNothingDonald ,,,
BobbiPitz,Mon Apr 20 22:17:56 +0000 2020,-81.823177,26.622149, @realDonaldTrump No one cares about you. ,,,
Khaled8vKh,Mon Apr 20 22:17:59 +0000 2020,29.395201,40.845938, @realDonaldTrump شو وضعك الآن ابو ايفانكا طمنا عن وضع لوتس أنجلوس ,,,
ScottVoliva,Mon Apr 20 22:18:04 +0000 2020,-118.369645,34.087010, @realDonaldTrump  hahahaha this makes me happy. ,,,
motorcitykevin,Mon Apr 20 22:18:13 +0000 2020,-83.399779,33.956384, @realDonaldTrump I’d rather watch paint dry. ,,,
DEEGILES0410,Mon Apr 20 22:18:40 +0000 2020,-108.759870,44.757434,@realDonaldTrump Keep them up #DumbassDonald! Every MAGA rally you have televised just further proves your massive… https://t.co/lCLkav6A4O,,,